pair,matcher,param_num_disparities,param_block_size,param_p1,param_p2,param_uniqueness_ratio,param_mode_hh,mae,rmse,bad_0_5,bad_1_0,bad_3_0,density,evaluated,gt_valid,elapsed_ms
random-dot-640x480-d64-s0,opencv-sgbm,64,5,392,1568,15,True,0.24660539785020477,0.7087664077082563,0.0016818819451074863,0.0012559031118488215,0.0012559031118488215,0.9545499158721257,272314,285280,109.50633300000234
random-dot-640x480-d64-s0,opencv-sgbm,64,5,392,3200,5,False,0.3905728329556984,1.8458037946033787,0.009085095591964541,0.008831506758693687,0.008824156357729315,0.9537787436904094,272094,285280,73.78025000000221
random-dot-640x480-d64-s0,opencv-sgbm,64,5,392,3200,5,True,0.2270897577519474,0.3515280297863274,0.0006242724471847149,0.00019829830675279178,0.00019829830675279178,0.9545604318564218,272317,285280,99.69712499999872
random-dot-640x480-d64-s0,opencv-sgbm,64,5,392,3200,10,False,0.3899136969879383,1.8487120697816455,0.008972684631656397,0.008729881357491033,0.008722523682516324,0.9528358104318564,271825,285280,70.96133299999963
random-dot-640x480-d64-s0,opencv-sgbm,64,5,392,3200,10,True,0.22812282324801225,0.3793374689553264,0.000675683119305809,0.0002533811697396784,0.0002533811697396784,0.9545604318564218,272317,285280,94.28812500000205
random-dot-640x480-d64-s0,opencv-sgbm,64,5,392,3200,15,False,0.35935173879502175,1.6753579792175364,0.007350310719356802,0.007117962713677184,0.007110586586512752,0.9504521873247336,271145,285280,70.7672499999994
random-dot-640x480-d64-s0,opencv-sgbm,64,5,392,3200,15,True,0.23088795200887605,0.4421279159433506,0.0008262763214912635,0.00040762965193569,0.00040762965193569,0.954521873247336,272306,285280,93.67179199999853
random-dot-640x480-d64-s0,opencv-sgbm,64,7,200,800,5,False,0.2922931028806683,1.2054366426676182,0.004589465174814896,0.003685535284499072,0.003637766631758805,0.9539575154234436,272145,285280,76.39883299999894
random-dot-640x480-d64-s0,opencv-sgbm,64,7,200,800,5,True,0.2584261808239534,0.8663509163373301,0.0028994880878445667,0.0019293171687178676,0.0019146176093371601,0.9538593662366798,272117,285280,98.80912499999894
random-dot-640x480-d64-s0,opencv-sgbm,64,7,200,800,10,False,0.29521409980468066,1.230490424764924,0.004726342560604502,0.003829587051438484,0.0037854843214794997,0.953771733034212,272092,285280,75.94595799999837
random-dot-640x480-d64-s0,opencv-sgbm,64,7,200,800,10,True,0.25787812058490445,0.8578576154417126,0.0028744293412337257,0.001907709498849493,0.0018966822763127908,0.953638530566461,272054,285280,104.85491700000082
random-dot-640x480-d64-s0,opencv-sgbm,64,7,200,800,15,False,0.2961080572017173,1.2394953230367827,0.004713477899597774,0.0038347562006868,0.0038310795408587205,0.9534001682557487,271986,285280,71.77808399999819
random-dot-640x480-d64-s0,opencv-sgbm,64,7,200,800,15,True,0.2598387225119169,0.8847772291978383,0.002908462485981652,0.0019892265548875775,0.0019781957237144485,0.9533265563656759,271965,285280,97.18954199999885
random-dot-640x480-d64-s0,opencv-sgbm,64,7,200,1568,5,False,0.3146163728573686,1.3770933936169902,0.005793193640344432,0.004885825961736269,0.004827049108061246,0.9542063937184521,272216,285280,75.43975000000103
random-dot-640x480-d64-s0,opencv-sgbm,64,7,200,1568,5,True,0.25340958581962736,0.8021499255897985,0.0026700357351412693,0.0017004491683224317,0.0016710677572067093,0.9544342400448682,272281,285280,94.15295799999868
random-dot-640x480-d64-s0,opencv-sgbm,64,7,200,1568,10,False,0.319758206964416,1.4174661261442851,0.006003688925141274,0.00511085146564964,0.005070434955137673,0.9540311273135166,272166,285280,70.78604200000171
random-dot-640x480-d64-s0,opencv-sgbm,64,7,200,1568,10,True,0.2541744174748448,0.8130638441246152,0.002699496461272326,0.0017335541900959698,0.0017041719156875635,0.9544061974200785,272273,285280,99.8560409999989
random-dot-640x480-d64-s0,opencv-sgbm,64,7,200,1568,15,False,0.3226186684837005,1.4391927281907892,0.006101931665717069,0.005219724677902553,0.0052160488154533256,0.9536069826135727,272045,285280,76.11054200000211
random-dot-640x480-d64-s0,opencv-sgbm,64,7,200,1568,15,True,0.25559842019321166,0.833070553546224,0.00272945014253387,0.001781673377024128,0.0017669791636053722,0.9542063937184521,272216,285280,128.73579200000407
random-dot-640x480-d64-s0,opencv-sgbm,64,7,200,3200,5,False,0.3609203484015056,1.6787261244811629,0.008200274812077036,0.007322198790532944,0.00728545920804156,0.9541012338754907,272186,285280,72.2595840000011
